word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank,in_twitter,in_google,in_nyt,in_lyrics,n_corpora,valence_band
laughter,1,8.5,0.9313,3600.0,,,1728.0,True,False,False,True,2,positive
happiness,2,8.44,0.9723,1853.0,2458.0,,1230.0,True,True,False,True,3,positive
love,3,8.42,1.1082,25.0,317.0,328.0,23.0,True,True,True,True,4,positive
happy,4,8.3,0.9949,65.0,1372.0,1313.0,375.0,True,True,True,True,4,positive
laughed,5,8.26,1.1572,3334.0,3542.0,,2332.0,True,True,False,True,3,positive
laugh,6,8.22,1.3746,1002.0,3998.0,4488.0,647.0,True,True,True,True,4,positive
laughing,7,8.2,1.1066,1579.0,,,1122.0,True,False,False,True,2,positive
excellent,8,8.18,1.1008,1496.0,1756.0,3155.0,,True,True,True,False,3,positive
laughs,9,8.18,1.1551,3554.0,,,2856.0,True,False,False,True,2,positive
joy,10,8.16,1.0568,988.0,2336.0,2723.0,809.0,True,True,True,True,4,positive
successful,11,8.16,1.0759,2176.0,1198.0,1565.0,,True,True,True,False,3,positive
win,12,8.12,1.0812,154.0,3031.0,776.0,694.0,True,True,True,True,4,positive
rainbow,13,8.1,0.9949,2726.0,,,1723.0,True,False,False,True,2,positive
smile,14,8.1,1.0152,925.0,2666.0,2898.0,349.0,True,True,True,True,4,positive
won,15,8.1,1.2164,810.0,1167.0,439.0,1493.0,True,True,True,True,4,positive
pleasure,16,8.08,0.9655,1497.0,1526.0,4253.0,1398.0,True,True,True,True,4,positive
smiled,17,8.08,1.066,,3537.0,,2248.0,False,True,False,True,2,positive
rainbows,18,8.06,1.3603,,,,4216.0,False,False,False,True,1,positive
winning,19,8.04,1.049,1876.0,,1426.0,3646.0,True,False,True,True,3,positive
celebration,20,8.02,1.5318,3306.0,,2762.0,4070.0,True,False,True,True,3,positive
enjoyed,21,8.02,1.5318,1530.0,2908.0,3502.0,,True,True,True,False,3,positive
healthy,22,8.02,1.0593,1393.0,3200.0,3292.0,4619.0,True,True,True,True,4,positive
music,23,8.02,1.1156,132.0,875.0,167.0,374.0,True,True,True,True,4,positive
celebrating,24,8.0,1.1429,2550.0,,,,True,False,False,False,1,positive
