n_corpora,n_words,mean_happiness,ci_lower,ci_upper
1,1462,5.417852257181942,5.332729993160054,5.502052667578659
2,831,5.538086642599278,5.4179389290012026,5.656270156438027
3,482,5.822240663900415,5.671491701244813,5.969627593360995
4,807,5.960074349442379,5.849986988847585,6.067957249070632
