modality,n,mean,std,median,q25,q75,min,max
written,124.0,5.983465422447856,0.1106927845811631,5.991207990538877,5.924570693358934,6.04979579066808,5.661277683134583,6.422116182572613
spoken,109.0,5.998869769082472,0.11886928118150769,6.008806888068885,5.930086580086583,6.0700429975430055,5.658361981799791,6.259593709043248
