comparison,n_a,n_b,mean_a,mean_b,observed_diff,ci_lower,ci_upper,prob_diff_positive
twitter − google,2019,1909,5.809549281822684,5.874955474070195,-0.06540619224751065,-0.16681164330427234,0.03245296737048368,0.0971
twitter − nyt,2019,1871,5.809549281822684,5.825301977552111,-0.015752695729426947,-0.1207143391124775,0.08522589766538946,0.3775
twitter − lyrics,2019,1999,5.809549281822684,5.472421210605302,0.3371280712173821,0.22935179055600152,0.44573214956908863,1.0
google − nyt,1909,1871,5.874955474070195,5.825301977552111,0.049653496518083706,-0.05008384739198422,0.15004152480066418,0.8371
google − lyrics,1909,1999,5.874955474070195,5.472421210605302,0.40253426346489274,0.29699279255919364,0.5042020000964347,1.0
nyt − lyrics,1871,1999,5.825301977552111,5.472421210605302,0.35288076694680903,0.24582745976141487,0.4621449064992146,1.0
