era,n,mean,std,median,q25,q75,min,max
Founding,72.0,5.983106936368257,0.12757513779032054,5.995052723925174,5.915036392833414,6.053574034666724,5.661277683134583,6.422116182572613
Industrial,84.0,5.962224362831183,0.09560740262608264,5.963687456349572,5.904799035618187,6.0233619667854255,5.658361981799791,6.151951923076922
Broadcast,77.0,6.028778848275192,0.11172973670163412,6.031700000000004,5.965241596638655,6.098079306071865,5.664750889679728,6.259593709043248
