comparison,n_a,n_b,mean_a,mean_b,observed_diff,ci_lower,ci_upper,prob_diff_positive
Founding − Industrial,72,84,5.983106936368257,5.962224362831183,0.020882573537074123,-0.01489692394997526,0.057295791169316,0.8725
Founding − Broadcast,72,77,5.983106936368257,6.028778848275192,-0.045671911906935314,-0.08383675948178457,-0.008451206540941402,0.0084
Industrial − Broadcast,84,77,5.962224362831183,6.028778848275192,-0.06655448544400944,-0.09945653775901217,-0.03458189869505773,0.0001
