corpus,n_top1000,n_bottom1000,mean_top1000,mean_bottom1000,observed_diff,ci_lower,ci_upper,prob_diff_positive
twitter,467,341,6.126381156316916,5.5445161290322575,0.5818650272846586,0.35532627930196525,0.8100953769929724,1.0
google,317,386,6.115236593059936,5.689740932642486,0.42549566041744935,0.20884067970448295,0.6408091237475678,0.9999
nyt,334,371,6.1414970059880245,5.683126684636117,0.45837032135190725,0.2406802096615401,0.6840453701760897,1.0
lyrics,442,366,5.6920814479638,5.313743169398907,0.3783382785648932,0.1388624669287639,0.6244678189056214,0.9991
