era,n_docs,mean_happiness,ci_lower,ci_upper
Founding,72,5.983106936368257,5.953020854723846,6.012208680433476
Industrial,84,5.962224362831183,5.94125069410338,5.9823967662290976
Broadcast,77,6.028778848275192,6.00337560164098,6.053132393434066
